episode,winner,steps,loss1,loss2,epsilon,win_rate_vs_random,draw_rate_vs_random
10,1,11,0.003537,0.000000,0.8972,,
20,1,71,0.003760,0.000000,0.7901,,
30,-1,24,0.004995,0.000000,0.7171,,
40,-1,50,0.006163,0.000000,0.6699,,
50,-1,44,0.006640,0.000000,0.5956,0.4900,0.0000
60,1,11,0.005174,0.000000,0.5352,,
70,1,37,0.008806,0.000000,0.5010,,
80,-1,34,0.010485,0.000000,0.4522,,
90,1,55,0.010449,0.000000,0.3954,,
100,1,55,0.007121,0.000000,0.3591,0.5100,0.0000
110,-1,60,0.009695,0.000000,0.3283,,
120,-1,58,0.010212,0.000000,0.2929,,
130,-1,38,0.008528,0.000000,0.2648,,
140,1,39,0.011366,0.000000,0.2404,,
150,-1,18,0.010277,0.000000,0.2218,0.5500,0.0100
160,-1,44,0.015689,0.000000,0.2010,,
170,-1,22,0.015282,0.000000,0.1838,,
180,-1,48,0.011410,0.000000,0.1660,,
190,-1,18,0.009727,0.000000,0.1490,,
200,1,61,0.014010,0.000000,0.1316,0.4500,0.0100
210,-1,60,0.012368,0.000000,0.1161,,
220,-1,44,0.015966,0.000000,0.1060,,
230,-1,58,0.014779,0.000000,0.0938,,
240,1,49,0.016797,0.000000,0.0838,,
250,1,35,0.012130,0.000000,0.0762,0.5600,0.0000
260,1,79,0.016456,0.000000,0.0676,,
270,-1,50,0.015691,0.000000,0.0596,,
280,-1,50,0.017977,0.000000,0.0539,,
290,-1,66,0.017977,0.000000,0.0500,,
300,-1,14,0.014237,0.000000,0.0500,0.5500,0.0100
310,1,59,0.020945,0.000000,0.0500,,
320,-1,54,0.019539,0.000000,0.0500,,
330,-1,58,0.019693,0.000000,0.0500,,
340,-1,54,0.018926,0.000000,0.0500,,
350,1,45,0.025844,0.000000,0.0500,0.5400,0.0000
360,1,55,0.023380,0.000000,0.0500,,
370,1,17,0.015086,0.000000,0.0500,,
380,1,77,0.023603,0.000000,0.0500,,
390,1,9,0.024209,0.000000,0.0500,,
400,1,49,0.020988,0.000000,0.0500,0.6100,0.0000
410,1,21,0.022369,0.000000,0.0500,,
420,1,43,0.021926,0.000000,0.0500,,
430,1,65,0.026449,0.000000,0.0500,,
440,-1,62,0.020311,0.000000,0.0500,,
450,-1,12,0.021078,0.000000,0.0500,0.6100,0.0100
460,1,13,0.014074,0.000000,0.0500,,
470,1,35,0.026275,0.000000,0.0500,,
480,1,55,0.019560,0.000000,0.0500,,
490,1,13,0.021046,0.000000,0.0500,,
500,1,47,0.021745,0.000000,0.0500,0.6500,0.0000
510,-1,34,0.019625,0.000000,0.0500,,
520,-1,58,0.021830,0.000000,0.0500,,
530,1,15,0.020791,0.000000,0.0500,,
540,1,61,0.022832,0.000000,0.0500,,
550,-1,64,0.022544,0.000000,0.0500,0.4900,0.0500
560,-1,52,0.027000,0.000000,0.0500,,
570,-1,32,0.019682,0.000000,0.0500,,
580,1,17,0.020815,0.000000,0.0500,,
590,-1,14,0.022872,0.000000,0.0500,,
600,-1,14,0.022613,0.000000,0.0500,0.5000,0.0100
610,1,29,0.020862,0.000000,0.0500,,
620,1,43,0.020678,0.000000,0.0500,,
630,1,65,0.023418,0.000000,0.0500,,
640,1,19,0.020555,0.000000,0.0500,,
650,-1,52,0.027826,0.000000,0.0500,0.5100,0.0000
660,-1,24,0.025725,0.000000,0.0500,,
670,1,55,0.021259,0.000000,0.0500,,
680,-1,60,0.023720,0.000000,0.0500,,
690,1,63,0.028409,0.000000,0.0500,,
700,-1,60,0.027924,0.000000,0.0500,0.4700,0.0000
710,-1,40,0.027624,0.000000,0.0500,,
720,1,11,0.018027,0.000000,0.0500,,
730,-1,48,0.026873,0.000000,0.0500,,
740,1,51,0.021588,0.000000,0.0500,,
750,1,31,0.028424,0.000000,0.0500,0.5900,0.0000
760,1,67,0.025794,0.000000,0.0500,,
770,-1,60,0.027040,0.000000,0.0500,,
780,1,61,0.029526,0.000000,0.0500,,
790,1,49,0.022691,0.000000,0.0500,,
800,-1,60,0.023866,0.000000,0.0500,0.5100,0.0000
810,1,15,0.020317,0.000000,0.0500,,
820,1,13,0.018211,0.000000,0.0500,,
830,-1,10,0.022305,0.000000,0.0500,,
840,-1,50,0.025068,0.000000,0.0500,,
850,-1,14,0.015455,0.000000,0.0500,0.5200,0.0000
860,-1,12,0.019366,0.000000,0.0500,,
870,-1,44,0.022331,0.000000,0.0500,,
880,-1,38,0.028181,0.000000,0.0500,,
890,1,71,0.024433,0.000000,0.0500,,
900,1,19,0.019893,0.000000,0.0500,0.3100,0.0100
910,-1,14,0.025296,0.000000,0.0500,,
920,-1,12,0.026894,0.000000,0.0500,,
930,1,49,0.026149,0.000000,0.0500,,
940,-1,34,0.023769,0.000000,0.0500,,
950,1,41,0.024309,0.000000,0.0500,0.3900,0.0000
960,1,9,0.017606,0.000000,0.0500,,
970,0,81,0.023176,0.000000,0.0500,,
980,1,35,0.020335,0.000000,0.0500,,
990,1,51,0.021048,0.000000,0.0500,,
1000,1,53,0.025213,0.000000,0.0500,0.4200,0.0000
1010,1,69,0.023172,0.000000,0.0500,,
1020,1,49,0.030473,0.000000,0.0500,,
1030,1,9,0.019574,0.000000,0.0500,,
1040,1,13,0.020118,0.000000,0.0500,,
1050,-1,64,0.026367,0.000000,0.0500,0.5000,0.0000
1060,-1,58,0.025428,0.000000,0.0500,,
1070,-1,60,0.021899,0.000000,0.0500,,
1080,-1,46,0.021328,0.000000,0.0500,,
1090,1,33,0.020925,0.000000,0.0500,,
1100,1,45,0.026478,0.000000,0.0500,0.4700,0.0100
1110,1,43,0.023495,0.000000,0.0500,,
1120,-1,32,0.027823,0.000000,0.0500,,
1130,1,19,0.023751,0.000000,0.0500,,
1140,1,55,0.023903,0.000000,0.0500,,
1150,1,59,0.025005,0.000000,0.0500,0.4800,0.0100
1160,-1,40,0.025301,0.000000,0.0500,,
1170,1,9,0.021239,0.000000,0.0500,,
1180,1,17,0.017264,0.000000,0.0500,,
1190,1,71,0.028243,0.000000,0.0500,,
1200,-1,12,0.021158,0.000000,0.0500,0.5200,0.0100
1210,-1,14,0.020141,0.000000,0.0500,,
1220,-1,16,0.026816,0.000000,0.0500,,
1230,1,11,0.023490,0.000000,0.0500,,
1240,-1,16,0.016070,0.000000,0.0500,,
1250,-1,32,0.024789,0.000000,0.0500,0.6000,0.0000
1260,-1,44,0.021513,0.000000,0.0500,,
1270,1,13,0.026961,0.000000,0.0500,,
1280,-1,62,0.022304,0.000000,0.0500,,
1290,1,61,0.024585,0.000000,0.0500,,
1300,-1,70,0.023103,0.000000,0.0500,0.5600,0.0000
1310,1,59,0.027261,0.000000,0.0500,,
1320,1,67,0.023176,0.000000,0.0500,,
1330,-1,66,0.024390,0.000000,0.0500,,
1340,-1,10,0.018118,0.000000,0.0500,,
1350,-1,16,0.021056,0.000000,0.0500,0.4800,0.0000
1360,1,13,0.025218,0.000000,0.0500,,
1370,1,15,0.026147,0.000000,0.0500,,
1380,-1,42,0.023531,0.000000,0.0500,,
1390,1,37,0.028149,0.000000,0.0500,,
1400,-1,64,0.025493,0.000000,0.0500,0.4700,0.0100
1410,1,53,0.020256,0.000000,0.0500,,
1420,-1,64,0.025210,0.000000,0.0500,,
1430,-1,76,0.026779,0.000000,0.0500,,
1440,-1,46,0.021571,0.000000,0.0500,,
1450,1,11,0.014176,0.000000,0.0500,0.5300,0.0000
1460,-1,62,0.024165,0.000000,0.0500,,
1470,1,71,0.028621,0.000000,0.0500,,
1480,1,37,0.023519,0.000000,0.0500,,
1490,1,11,0.019442,0.000000,0.0500,,
1500,1,55,0.023966,0.000000,0.0500,0.5400,0.0100
