episode,winner,steps,loss1,loss2,epsilon,win_rate_vs_random,draw_rate_vs_random
100,0,16,0.028456,0.000000,0.7067,,
200,-1,12,0.022295,0.000000,0.4955,0.3600,0.4200
300,0,16,0.019856,0.000000,0.3495,,
400,0,16,0.017001,0.000000,0.2444,0.4600,0.2800
500,-1,12,0.016214,0.000000,0.1727,,
600,1,15,0.017981,0.000000,0.1211,0.4400,0.3200
700,-1,16,0.017519,0.000000,0.0845,,
800,0,16,0.018513,0.000000,0.0599,0.4800,0.3300
900,1,7,0.016088,0.000000,0.0500,,
1000,1,15,0.018163,0.000000,0.0500,0.4600,0.3600
1100,1,9,0.019651,0.000000,0.0500,,
1200,1,15,0.014780,0.000000,0.0500,0.6300,0.2300
1300,0,16,0.014429,0.000000,0.0500,,
1400,0,16,0.015890,0.000000,0.0500,0.4500,0.3700
1500,1,9,0.015582,0.000000,0.0500,,
1600,0,16,0.015671,0.000000,0.0500,0.6000,0.3200
1700,1,11,0.015320,0.000000,0.0500,,
1800,1,11,0.014590,0.000000,0.0500,0.5600,0.2800
1900,0,16,0.011944,0.000000,0.0500,,
2000,1,11,0.013385,0.000000,0.0500,0.6800,0.2200
2100,-1,10,0.012174,0.000000,0.0500,,
2200,-1,8,0.012428,0.000000,0.0500,0.6800,0.2000
2300,0,16,0.014478,0.000000,0.0500,,
2400,1,13,0.017936,0.000000,0.0500,0.6000,0.3200
2500,1,15,0.014565,0.000000,0.0500,,
2600,-1,8,0.012097,0.000000,0.0500,0.5600,0.3200
2700,0,16,0.014471,0.000000,0.0500,,
2800,-1,10,0.015083,0.000000,0.0500,0.6000,0.3200
2900,0,16,0.013309,0.000000,0.0500,,
3000,1,7,0.018850,0.000000,0.0500,0.7800,0.1800
3100,-1,12,0.012127,0.000000,0.0500,,
3200,0,16,0.012520,0.000000,0.0500,0.7500,0.2500
3300,1,7,0.017344,0.000000,0.0500,,
3400,0,16,0.015062,0.000000,0.0500,0.8000,0.1700
3500,1,9,0.015741,0.000000,0.0500,,
3600,1,7,0.015113,0.000000,0.0500,0.8300,0.1300
3700,-1,12,0.014303,0.000000,0.0500,,
3800,1,7,0.012301,0.000000,0.0500,0.7500,0.2200
3900,1,15,0.011030,0.000000,0.0500,,
4000,0,16,0.013883,0.000000,0.0500,0.7900,0.1700
4100,1,13,0.014224,0.000000,0.0500,,
4200,-1,10,0.014596,0.000000,0.0500,0.8000,0.1700
4300,0,16,0.014187,0.000000,0.0500,,
4400,1,13,0.016153,0.000000,0.0500,0.7800,0.2100
4500,1,13,0.015246,0.000000,0.0500,,
4600,0,16,0.013497,0.000000,0.0500,0.8200,0.1700
4700,1,11,0.011767,0.000000,0.0500,,
4800,1,13,0.013871,0.000000,0.0500,0.8600,0.1000
4900,0,16,0.012161,0.000000,0.0500,,
5000,-1,10,0.013383,0.000000,0.0500,0.8300,0.1500
5100,-1,8,0.014735,0.000000,0.0500,,
5200,0,16,0.013665,0.000000,0.0500,0.8600,0.1200
5300,0,16,0.012736,0.000000,0.0500,,
5400,-1,10,0.015272,0.000000,0.0500,0.8500,0.1400
5500,0,16,0.014106,0.000000,0.0500,,
5600,1,11,0.013649,0.000000,0.0500,0.8700,0.1200
5700,1,13,0.012637,0.000000,0.0500,,
5800,-1,12,0.015093,0.000000,0.0500,0.8300,0.1700
5900,1,15,0.013412,0.000000,0.0500,,
6000,-1,12,0.013814,0.000000,0.0500,0.8500,0.1500
6100,1,7,0.016265,0.000000,0.0500,,
6200,-1,12,0.013707,0.000000,0.0500,0.9100,0.0900
6300,0,16,0.010989,0.000000,0.0500,,
6400,-1,8,0.014355,0.000000,0.0500,0.8800,0.1200
6500,1,15,0.014627,0.000000,0.0500,,
6600,1,13,0.013450,0.000000,0.0500,0.8700,0.1200
6700,1,13,0.014184,0.000000,0.0500,,
6800,0,16,0.014857,0.000000,0.0500,0.8600,0.1400
6900,1,13,0.014485,0.000000,0.0500,,
7000,-1,8,0.012107,0.000000,0.0500,0.8700,0.1100
7100,1,11,0.017557,0.000000,0.0500,,
7200,-1,14,0.014005,0.000000,0.0500,0.7800,0.1800
7300,1,7,0.014718,0.000000,0.0500,,
7400,-1,12,0.012350,0.000000,0.0500,0.8300,0.1600
7500,0,16,0.012692,0.000000,0.0500,,
7600,0,16,0.013078,0.000000,0.0500,0.7800,0.2100
7700,-1,10,0.010724,0.000000,0.0500,,
7800,0,16,0.012667,0.000000,0.0500,0.8200,0.1700
7900,0,16,0.012825,0.000000,0.0500,,
8000,0,16,0.010148,0.000000,0.0500,0.8300,0.1400
8100,0,16,0.011486,0.000000,0.0500,,
8200,-1,10,0.012650,0.000000,0.0500,0.8500,0.1500
8300,0,16,0.011051,0.000000,0.0500,,
8400,-1,12,0.011280,0.000000,0.0500,0.8000,0.1800
8500,1,9,0.011124,0.000000,0.0500,,
8600,0,16,0.014141,0.000000,0.0500,0.9300,0.0700
8700,-1,10,0.012177,0.000000,0.0500,,
8800,0,16,0.010625,0.000000,0.0500,0.8400,0.1400
8900,-1,12,0.010451,0.000000,0.0500,,
9000,1,13,0.010507,0.000000,0.0500,0.9100,0.0700
9100,1,7,0.016143,0.000000,0.0500,,
9200,0,16,0.010183,0.000000,0.0500,0.8100,0.1800
9300,-1,14,0.008820,0.000000,0.0500,,
9400,-1,10,0.010362,0.000000,0.0500,0.9000,0.0900
9500,0,16,0.009727,0.000000,0.0500,,
9600,0,16,0.011732,0.000000,0.0500,0.9100,0.0800
9700,-1,10,0.008789,0.000000,0.0500,,
9800,0,16,0.010297,0.000000,0.0500,0.9000,0.0900
9900,0,16,0.009625,0.000000,0.0500,,
10000,1,9,0.012049,0.000000,0.0500,0.8000,0.2000
10100,-1,14,0.009286,0.000000,0.0500,,
10200,-1,10,0.008727,0.000000,0.0500,0.8900,0.1000
10300,0,16,0.009809,0.000000,0.0500,,
10400,0,16,0.009563,0.000000,0.0500,0.9000,0.1000
10500,-1,12,0.009266,0.000000,0.0500,,
10600,0,16,0.012663,0.000000,0.0500,0.9200,0.0700
10700,-1,12,0.011442,0.000000,0.0500,,
10800,1,7,0.009145,0.000000,0.0500,0.8900,0.1000
10900,0,16,0.010467,0.000000,0.0500,,
11000,0,16,0.010180,0.000000,0.0500,0.8700,0.1100
11100,1,15,0.010283,0.000000,0.0500,,
11200,-1,8,0.009071,0.000000,0.0500,0.8700,0.1200
11300,1,7,0.012961,0.000000,0.0500,,
11400,0,16,0.009903,0.000000,0.0500,0.8700,0.1300
11500,1,13,0.010129,0.000000,0.0500,,
11600,-1,10,0.010135,0.000000,0.0500,0.9400,0.0600
11700,1,13,0.007536,0.000000,0.0500,,
11800,-1,8,0.009376,0.000000,0.0500,0.7900,0.1700
11900,0,16,0.011105,0.000000,0.0500,,
12000,0,16,0.009876,0.000000,0.0500,0.9100,0.0900
12100,1,9,0.011115,0.000000,0.0500,,
12200,1,7,0.010282,0.000000,0.0500,0.8500,0.1500
12300,1,11,0.009506,0.000000,0.0500,,
12400,0,16,0.009477,0.000000,0.0500,0.7700,0.2300
12500,0,16,0.010536,0.000000,0.0500,,
12600,-1,10,0.009099,0.000000,0.0500,0.7000,0.2400
12700,-1,10,0.009257,0.000000,0.0500,,
12800,1,11,0.009288,0.000000,0.0500,0.8300,0.1400
12900,-1,12,0.009566,0.000000,0.0500,,
13000,0,16,0.009795,0.000000,0.0500,0.8200,0.1700
13100,0,16,0.010090,0.000000,0.0500,,
13200,-1,8,0.008899,0.000000,0.0500,0.9400,0.0600
13300,0,16,0.008043,0.000000,0.0500,,
13400,1,9,0.011051,0.000000,0.0500,0.9100,0.0900
13500,0,16,0.010223,0.000000,0.0500,,
13600,1,13,0.010611,0.000000,0.0500,0.9000,0.1000
13700,0,16,0.008578,0.000000,0.0500,,
13800,0,16,0.008567,0.000000,0.0500,0.9300,0.0700
13900,0,16,0.008353,0.000000,0.0500,,
14000,-1,10,0.008712,0.000000,0.0500,0.8200,0.1800
14100,0,16,0.009814,0.000000,0.0500,,
14200,1,7,0.008461,0.000000,0.0500,0.9400,0.0600
14300,0,16,0.009201,0.000000,0.0500,,
14400,0,16,0.007360,0.000000,0.0500,0.8400,0.1600
14500,0,16,0.011076,0.000000,0.0500,,
14600,0,16,0.010434,0.000000,0.0500,0.8500,0.1400
14700,1,7,0.008174,0.000000,0.0500,,
14800,0,16,0.011738,0.000000,0.0500,0.8500,0.1300
14900,1,13,0.008736,0.000000,0.0500,,
15000,-1,10,0.009585,0.000000,0.0500,0.8800,0.1100
15100,1,9,0.010763,0.000000,0.0500,,
15200,1,9,0.010392,0.000000,0.0500,0.8300,0.1500
15300,1,9,0.011195,0.000000,0.0500,,
15400,-1,14,0.009944,0.000000,0.0500,0.8400,0.1600
15500,-1,16,0.008509,0.000000,0.0500,,
15600,0,16,0.008833,0.000000,0.0500,0.8400,0.1500
15700,-1,8,0.008312,0.000000,0.0500,,
15800,1,9,0.008806,0.000000,0.0500,0.9100,0.0800
15900,-1,14,0.008926,0.000000,0.0500,,
16000,0,16,0.007750,0.000000,0.0500,0.8500,0.1400
16100,0,16,0.009170,0.000000,0.0500,,
16200,-1,16,0.008647,0.000000,0.0500,0.8600,0.1400
16300,0,16,0.009018,0.000000,0.0500,,
16400,0,16,0.008339,0.000000,0.0500,0.8400,0.1500
16500,-1,12,0.009657,0.000000,0.0500,,
16600,1,7,0.008773,0.000000,0.0500,0.8600,0.1300
16700,0,16,0.008545,0.000000,0.0500,,
16800,-1,8,0.009337,0.000000,0.0500,0.9100,0.0800
16900,-1,10,0.008912,0.000000,0.0500,,
17000,1,7,0.010026,0.000000,0.0500,0.8800,0.1000
17100,-1,8,0.007668,0.000000,0.0500,,
17200,1,11,0.007596,0.000000,0.0500,0.8700,0.1300
17300,0,16,0.008574,0.000000,0.0500,,
17400,1,7,0.009411,0.000000,0.0500,0.8600,0.1100
17500,-1,10,0.008885,0.000000,0.0500,,
17600,0,16,0.009289,0.000000,0.0500,0.8800,0.1100
17700,-1,12,0.008620,0.000000,0.0500,,
17800,1,9,0.009858,0.000000,0.0500,0.8400,0.1600
17900,1,13,0.008261,0.000000,0.0500,,
18000,0,16,0.009309,0.000000,0.0500,0.9100,0.0900
18100,1,9,0.009048,0.000000,0.0500,,
18200,0,16,0.009317,0.000000,0.0500,0.9000,0.0800
18300,-1,12,0.007557,0.000000,0.0500,,
18400,-1,12,0.011316,0.000000,0.0500,0.8700,0.1300
18500,1,11,0.008994,0.000000,0.0500,,
18600,1,13,0.008210,0.000000,0.0500,0.8700,0.1200
18700,1,13,0.008139,0.000000,0.0500,,
18800,1,9,0.006656,0.000000,0.0500,0.7700,0.2100
18900,-1,10,0.008418,0.000000,0.0500,,
19000,0,16,0.007645,0.000000,0.0500,0.8500,0.1400
19100,-1,10,0.007794,0.000000,0.0500,,
19200,1,15,0.008949,0.000000,0.0500,0.8600,0.1400
19300,1,9,0.007388,0.000000,0.0500,,
19400,0,16,0.008162,0.000000,0.0500,0.9100,0.0900
19500,1,11,0.009649,0.000000,0.0500,,
19600,0,16,0.008707,0.000000,0.0500,0.9000,0.1000
19700,-1,10,0.010167,0.000000,0.0500,,
19800,0,16,0.007405,0.000000,0.0500,0.9200,0.0700
19900,0,16,0.008132,0.000000,0.0500,,
20000,0,16,0.008179,0.000000,0.0500,0.9300,0.0700
